,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
0,chevrolet chevelle malibu,18,8,307,130,3504,12,70,US,0.82986462419598,0.050988308492894
1,buick skylark 320,15,8,350,165,3693,11.5,70,US,0.943458133771709,0.059229080318366
2,plymouth satellite,18,8,318,150,3436,11,70,US,0.863517047240149,0.050231325342922
3,amc rebel sst,16,8,304,150,3433,12,70,US,0.857465087815407,0.054637137721158
4,ford torino,17,8,302,140,3449,10.5,70,US,0.848044469684978,0.050926154921525
5,ford galaxie 500,15,8,429,198,4341,10,70,US,1.10903900110309,0.065730220608478
6,chevrolet impala,14,8,454,220,4354,9,70,US,1.1692153947129,0.067620562654928
7,plymouth fury iii,14,8,440,215,4312,8.5,70,US,1.15110276452315,0.066341521848309
8,pontiac catalina,14,8,455,225,4425,10,70,US,1.17564290195848,0.069655793398557
9,amc ambassador dpl,15,8,390,190,3850,8.5,70,US,1.03700371271267,0.058778013659527
10,dodge challenger se,15,8,383,170,3563,10,70,US,0.97601270007545,0.056751447960572
11,plymouth 'cuda 340,14,8,340,160,3609,8,70,US,0.949144918797023,0.055914916322518
12,chevrolet monte carlo,15,8,400,150,3761,9.5,70,US,0.98508279815747,0.057231712067318
13,buick estate wagon (sw),14,8,455,225,3086,10,70,US,1.07090921483544,0.056952403584163
14,toyota corona mark ii,24,4,113,95,2372,15,70,Japan,-0.769629170982352,-0.45884236075909
15,plymouth duster,22,6,198,95,2833,15.5,70,US,0.440117979385467,0.0401424485797
16,amc hornet,18,6,199,97,2774,15.5,70,US,0.462599479395364,0.046481322612096
17,ford maverick,21,6,200,85,2587,16,70,US,0.413704576345211,0.039609714100588
18,datsun pl510,27,4,97,88,2130,14.5,70,Japan,-0.825359009934395,-0.467223947164585
19,volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,Europe,-0.835844050230956,0.903114814462841
20,peugeot 504,25,4,110,87,2672,17.5,70,Europe,-0.686980295594009,0.911403677202441
21,audi 100 ls,24,4,107,90,2430,14.5,70,Europe,-0.681183346287035,0.907569771603494
22,saab 99e,25,4,104,95,2375,17.5,70,Europe,-0.705785251712305,0.908926079943128
23,bmw 2002,26,4,121,113,2234,12.5,70,Europe,-0.657468442029273,0.901238493293682
24,amc gremlin,21,6,199,90,2648,15,70,US,0.429479082749038,0.039297528588261
25,ford f250,10,8,360,215,4615,14,70,US,1.09848849754871,0.081689228664187
26,chevy c20,10,8,307,200,4376,15,70,US,1.01122937326933,0.079513654743644
27,dodge d200,11,8,318,210,4382,13.5,70,US,1.03577923490628,0.076728299337212
28,hi 1200d,9,8,304,193,4732,18.5,70,US,1.01350443448168,0.088163626025259
29,datsun pl510,27,4,97,88,2130,14.5,71,Japan,-0.837455902932521,-0.482975385761952
30,chevrolet vega 2300,28,4,140,90,2264,15.5,71,US,0.133780642451392,0.008915235336966
31,toyota corona,25,4,113,95,2228,14,71,Japan,-0.793047555779635,-0.4787797501421
32,amc gremlin,19,6,232,100,2634,13,71,US,0.47984139963164,0.02524344218069
33,plymouth satellite custom,16,6,225,105,3439,15.5,71,US,0.545952982727034,0.040972740361835
34,chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,US,0.546591938660203,0.038146173149183
35,ford torino 500,19,6,250,88,3302,15.5,71,US,0.518289901410492,0.033925942773945
36,amc matador,18,6,232,100,3288,15.5,71,US,0.522188090211739,0.035948164546691
37,chevrolet impala,14,8,350,165,4209,12,71,US,0.974735068667932,0.050632742790962
38,pontiac catalina brougham,14,8,400,175,4464,11.5,71,US,1.05181371674878,0.053266603448861
39,ford galaxie 500,14,8,351,153,4154,13.5,71,US,0.948160488326561,0.051232435430017
40,plymouth fury iii,14,8,318,150,4096,13,71,US,0.915097619127294,0.049780231802545
41,dodge monaco (sw),12,8,383,180,4955,11.5,71,US,1.09371256662678,0.061456037963807
42,ford country squire (sw),13,8,400,170,4746,12,71,US,1.07094594077834,0.05796632866283
43,pontiac safari (sw),13,8,400,175,5140,12,71,US,1.10770239896702,0.061939659985816
44,amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,US,0.542383813524075,0.031243748883618
45,chevrolet vega (sw),22,4,140,72,2408,19,71,US,0.138790181851632,0.023552342019307
46,pontiac firebird,19,6,250,100,3282,15,71,US,0.533933555010794,0.033740980529371
47,ford mustang,18,6,250,88,3139,14.5,71,US,0.517419715644291,0.032958931801539
48,mercury capri 2000,23,4,122,86,2220,14,71,US,0.149069471279682,0.015017774826569
49,opel 1900,28,4,116,90,2123,14,71,Europe,-0.730598608926803,0.88160198272831
50,peugeot 304,30,4,79,70,2074,19.5,71,Europe,-0.833933943305041,0.882732558170405
51,fiat 124b,30,4,88,76,2065,14.5,71,Europe,-0.790344453371927,0.877383367594415
52,toyota corolla 1200,31,4,71,65,1773,19,71,Japan,-0.965166236050404,-0.489360607228637
53,datsun 1200,35,4,72,69,1613,18,71,Japan,-0.990048466417391,-0.498602776643226
54,volkswagen model 111,27,4,97,60,1834,19,71,Europe,-0.828493821819035,0.884633026361462
55,plymouth cricket,26,4,91,70,1955,20.5,71,US,0.026786729866149,0.013744475017578
56,toyota corona hardtop,24,4,113,95,2278,15.5,72,Japan,-0.80413073368604,-0.490676940614243
57,dodge colt hardtop,25,4,97.5,80,2126,17,72,US,0.072097237545006,-0.002095473592099
58,volkswagen type 3,23,4,97,54,2254,23.5,72,Europe,-0.817588385677795,0.884423041320171
59,chevrolet vega,20,4,140,90,2408,19.5,72,US,0.157054499943229,0.012607514171181
60,ford pinto runabout,21,4,122,86,2226,16.5,72,US,0.134602831341865,0.005522937466353
61,chevrolet impala,13,8,350,165,4274,12,72,US,0.973691057730844,0.037197572114532
62,pontiac catalina,14,8,400,175,4385,12,72,US,1.03058231463608,0.037325770516105
63,plymouth fury iii,15,8,318,150,4135,13.5,72,US,0.897127199586505,0.033259292514225
64,ford galaxie 500,14,8,351,153,4129,13,72,US,0.937063449132478,0.034683720114494
65,amc ambassador sst,17,8,304,150,3672,11.5,72,US,0.848951942765654,0.023142011816334
66,mercury marquis,11,8,429,208,4633,11,72,US,1.13752637346367,0.045386930514804
67,buick lesabre custom,13,8,350,155,4502,13.5,72,US,0.970781566933735,0.040570215213282
68,oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,US,0.979090898223675,0.04206876751451
69,chrysler newport royal,13,8,400,190,4422,12.5,72,US,1.05430568564659,0.040642590363307
70,mazda rx2 coupe,19,3,70,97,2330,13.5,72,Japan,-0.871859058381107,-0.483739260399005
71,amc matador (sw),15,8,304,150,3892,12.5,72,US,0.872186712860617,0.029748589961271
72,chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,US,0.870154648168361,0.035859218237488
73,ford gran torino (sw),13,8,302,140,4294,16,72,US,0.881311350340939,0.040399432027565
74,plymouth satellite custom (sw),14,8,318,150,4077,14,72,US,0.895603987593904,0.034968728346351
75,volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe,-0.592247103314189,0.892157283653801
76,volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe,-0.71257515190225,0.883581320199077
77,peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe,-0.666647405981507,0.891912952483201
78,renault 12 (sw),26,4,96,69,2189,18,72,Europe,-0.791100537568351,0.873246536723252
79,ford pinto (sw),22,4,122,86,2395,16,72,US,0.144808223521664,0.004866583239454
80,datsun 510 (sw),28,4,97,92,2288,17,72,Japan,-0.853188695205642,-0.495938668177526
81,toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,Japan,-0.766120216778907,-0.487797743852688
82,dodge colt (sw),28,4,98,80,2164,15,72,US,0.069407552543434,-0.009071099578483
83,toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan,-0.86372053028498,-0.496771056303623
84,buick century 350,13,8,350,175,4100,13,73,US,0.953950919903385,0.021386281270722
85,amc matador,14,8,304,150,3672,11.5,73,US,0.854761217243405,0.012489368756383
86,chevrolet malibu,13,8,350,145,3988,13,73,US,0.90955874538007,0.018911516530729
87,ford gran torino,14,8,302,137,4042,14.5,73,US,0.848837561017522,0.018736106936585
88,dodge coronet custom,15,8,318,150,3777,12.5,73,US,0.86293891962298,0.012991236206583
89,mercury marquis brougham,12,8,429,198,4952,11.5,73,US,1.12957969015749,0.031051681322689
90,chevrolet caprice classic,13,8,400,150,4464,12,73,US,1.00094020637184,0.022846591015456
91,ford ltd,13,8,351,158,4363,13,73,US,0.955176882491097,0.023087255885592
92,plymouth fury gran sedan,14,8,318,150,4237,14.5,73,US,0.893066649127515,0.021295341392416
93,chrysler new yorker brougham,13,8,440,215,4735,11,73,US,1.13909045517876,0.027600380216737
94,buick electra 225 custom,12,8,455,225,4951,11,73,US,1.1865216519535,0.031911145582017
95,amc ambassador brougham,13,8,360,175,3821,11,73,US,0.952409449920268,0.016559758386954
96,plymouth valiant,18,6,225,105,3121,16.5,73,US,0.479037879193833,0.004173922004388
97,chevrolet nova custom,16,6,250,100,3278,18,73,US,0.509601266379416,0.010659527044013
98,amc hornet,18,6,232,100,2945,16,73,US,0.4682102854665,0.001751266496031
99,ford maverick,18,6,250,88,3021,16.5,73,US,0.472175025415567,0.002576947155655
100,plymouth duster,23,6,198,95,2904,16,73,US,0.400456744713205,-0.007577776809956
101,volkswagen super beetle,26,4,97,46,1950,21,73,Europe,-0.86609497747219,0.857511625339081
102,chevrolet impala,11,8,400,150,4997,14,73,US,1.04274656065361,0.033542861895576
103,ford country,12,8,400,167,4906,12.5,73,US,1.05871725415613,0.03009988203269
104,plymouth custom suburb,13,8,360,170,4654,13,73,US,0.999805081659311,0.026467632757225
105,oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,US,1.00002248957379,0.026546551038084
106,amc gremlin,18,6,232,100,2789,15,73,US,0.46191890208501,-0.000848932437166
107,toyota carina,20,4,97,88,2279,19,73,Japan,-0.834811871525298,-0.496126611752793
108,chevrolet vega,21,4,140,72,2401,19.5,73,US,0.117062293678518,-0.005757251038197
109,datsun 610,22,4,108,94,2379,16.5,73,Japan,-0.807718559413596,-0.50102825197613
