,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
0,chevrolet chevelle malibu,18,8,307,130,3504,12,70,US,0.748081013100496,0.277137060265867
1,buick skylark 320,15,8,350,165,3693,11.5,70,US,0.913659349671859,0.247872288129959
2,plymouth satellite,18,8,318,150,3436,11,70,US,0.799791926889793,0.270568271490233
3,amc rebel sst,16,8,304,150,3433,12,70,US,0.790202548423413,0.28262005142394
4,ford torino,17,8,302,140,3449,10.5,70,US,0.777618729537719,0.283073354631816
5,ford galaxie 500,15,8,429,198,4341,10,70,US,1.15278247412856,0.170256672565019
6,chevrolet impala,14,8,454,220,4354,9,70,US,1.24201868962492,0.155880412976353
7,plymouth fury iii,14,8,440,215,4312,8.5,70,US,1.21674153472142,0.165844320682136
8,pontiac catalina,14,8,455,225,4425,10,70,US,1.25030969755737,0.149778903148114
9,amc ambassador dpl,15,8,390,190,3850,8.5,70,US,1.05300194056766,0.216203692865195
10,dodge challenger se,15,8,383,170,3563,10,70,US,0.961945176786622,0.239699539246629
11,plymouth 'cuda 340,14,8,340,160,3609,8,70,US,0.926432072394403,0.262766240475488
12,chevrolet monte carlo,15,8,400,150,3761,9.5,70,US,0.972191727362254,0.227900449034476
13,buick estate wagon (sw),14,8,455,225,3086,10,70,US,1.1027110153907,0.220957655293883
14,toyota corona mark ii,24,4,113,95,2372,15,70,Japan,-0.200938367744194,0.60376678986603
15,plymouth duster,22,6,198,95,2833,15.5,70,US,0.187842665092804,0.452351060359457
16,amc hornet,18,6,199,97,2774,15.5,70,US,0.220182426413655,0.467011651634651
17,ford maverick,21,6,200,85,2587,16,70,US,0.148438103048921,0.470413544431565
18,datsun pl510,27,4,97,88,2130,14.5,70,Japan,-0.279773958556275,0.616405908399774
19,volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,Europe,-0.439303977850275,0.644945895321443
20,peugeot 504,25,4,110,87,2672,17.5,70,Europe,-0.219045763577763,0.587248496394937
21,audi 100 ls,24,4,107,90,2430,14.5,70,Europe,-0.205795377124624,0.604956969582068
22,saab 99e,25,4,104,95,2375,17.5,70,Europe,-0.244247861475208,0.603286234794417
23,bmw 2002,26,4,121,113,2234,12.5,70,Europe,-0.166387215511504,0.597175874516292
24,amc gremlin,21,6,199,90,2648,15,70,US,0.172927761971089,0.466568598117393
25,ford f250,10,8,360,215,4615,14,70,US,1.13615501050993,0.194492572917565
26,chevy c20,10,8,307,200,4376,15,70,US,1.01038370699525,0.23407016798327
27,dodge d200,11,8,318,210,4382,13.5,70,US,1.04842833113489,0.223576779908523
28,hi 1200d,9,8,304,193,4732,18.5,70,US,1.00745846932923,0.22012301679674
29,datsun pl510,27,4,97,88,2130,14.5,71,Japan,-0.303472081099489,0.539029776492863
