,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
0,chevrolet chevelle malibu,18,8,307,130,3504,12,70,US,0.782838064983035,0.05706476697785
1,buick skylark 320,15,8,350,165,3693,11.5,70,US,0.931827068922637,0.323622000226119
2,plymouth satellite,18,8,318,150,3436,11,70,US,0.847194158240466,0.07413521586095
3,amc rebel sst,16,8,304,150,3433,12,70,US,0.845456853737987,0.472873907919789
4,ford torino,17,8,302,140,3449,10.5,70,US,0.782399572829329,0.409069248627399
5,ford galaxie 500,15,8,429,198,4341,10,70,US,1.08422105975269,0.32640789285985
6,chevrolet impala,14,8,454,220,4354,9,70,US,1.24684638061489,0.224505174260373
7,plymouth fury iii,14,8,440,215,4312,8.5,70,US,1.08767276512377,0.130517999369381
8,pontiac catalina,14,8,455,225,4425,10,70,US,1.21378513631833,0.060942724758744
9,amc ambassador dpl,15,8,390,190,3850,8.5,70,US,1.19472680782373,0.172450834767042
10,dodge challenger se,15,8,383,170,3563,10,70,US,1.11065974729784,0.175119717495579
11,plymouth 'cuda 340,14,8,340,160,3609,8,70,US,0.96377796170662,0.375978281956134
12,chevrolet monte carlo,15,8,400,150,3761,9.5,70,US,0.991190236823456,0.007842689389479
13,buick estate wagon (sw),14,8,455,225,3086,10,70,US,1.0776318470102,0.406693497576138
14,toyota corona mark ii,24,4,113,95,2372,15,70,Japan,-0.30620199949508,0.818873873562755
15,plymouth duster,22,6,198,95,2833,15.5,70,US,0.18511663086718,0.617903260156939
16,amc hornet,18,6,199,97,2774,15.5,70,US,0.254077549095616,0.533351910453901
17,ford maverick,21,6,200,85,2587,16,70,US,0.266536312483956,0.578397801065752
18,datsun pl510,27,4,97,88,2130,14.5,70,Japan,-0.361325920669872,0.609334031851864
19,volkswagen 1131 deluxe sedan,26,4,97,46,1835,20.5,70,Europe,-0.434839238470256,0.476172091988837
20,peugeot 504,25,4,110,87,2672,17.5,70,Europe,-0.185755356538681,0.595708153968219
21,audi 100 ls,24,4,107,90,2430,14.5,70,Europe,-0.16729536051618,0.442788053717655
22,saab 99e,25,4,104,95,2375,17.5,70,Europe,-0.201002796725967,0.648446210542928
23,bmw 2002,26,4,121,113,2234,12.5,70,Europe,-0.087621354118008,0.542646302964093
24,amc gremlin,21,6,199,90,2648,15,70,US,0.272671793550866,0.347913502212597
25,ford f250,10,8,360,215,4615,14,70,US,0.992041880920586,0.175113074954623
26,chevy c20,10,8,307,200,4376,15,70,US,1.05374358101493,0.422931060311048
27,dodge d200,11,8,318,210,4382,13.5,70,US,0.998653606752649,0.226271133480506
28,hi 1200d,9,8,304,193,4732,18.5,70,US,1.00269590632045,0.134589689425093
29,datsun pl510,27,4,97,88,2130,14.5,71,Japan,-0.334663242350498,0.402925341528797
30,chevrolet vega 2300,28,4,140,90,2264,15.5,71,US,-0.163005037507261,0.472428565949912
31,toyota corona,25,4,113,95,2228,14,71,Japan,-0.154841032499816,0.363185830417731
32,amc gremlin,19,6,232,100,2634,13,71,US,0.143427185533222,0.561246724882783
33,plymouth satellite custom,16,6,225,105,3439,15.5,71,US,0.32358102024674,0.58283501970074
34,chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,US,0.201521697503403,0.181528318983802
35,ford torino 500,19,6,250,88,3302,15.5,71,US,0.239751259274503,0.549631289004313
36,amc matador,18,6,232,100,3288,15.5,71,US,0.367022981250571,0.419090846826474
37,chevrolet impala,14,8,350,165,4209,12,71,US,1.05012149403061,0.236327609930472
38,pontiac catalina brougham,14,8,400,175,4464,11.5,71,US,1.04953192621205,0.016196211269156
39,ford galaxie 500,14,8,351,153,4154,13.5,71,US,0.76072761483613,0.013972610268134
40,plymouth fury iii,14,8,318,150,4096,13,71,US,0.812698414851479,0.074228341975703
41,dodge monaco (sw),12,8,383,180,4955,11.5,71,US,1.05537639177009,0.137287058585667
42,ford country squire (sw),13,8,400,170,4746,12,71,US,0.997061614892053,0.168078995076188
43,pontiac safari (sw),13,8,400,175,5140,12,71,US,1.09541121638338,0.022120290720102
44,amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,US,0.429807718550266,0.27832651959294
45,chevrolet vega (sw),22,4,140,72,2408,19,71,US,-0.378904764699415,0.360934742799012
46,pontiac firebird,19,6,250,100,3282,15,71,US,0.170382831452654,0.283017072898091
47,ford mustang,18,6,250,88,3139,14.5,71,US,0.369941241612028,0.49383920840703
48,mercury capri 2000,23,4,122,86,2220,14,71,US,-0.144682767047403,0.362501565822166
49,opel 1900,28,4,116,90,2123,14,71,Europe,-0.232116583872977,0.692521033310111
50,peugeot 304,30,4,79,70,2074,19.5,71,Europe,-0.526635377495853,0.320525249474652
51,fiat 124b,30,4,88,76,2065,14.5,71,Europe,-0.374601241767876,0.487792653183149
52,toyota corolla 1200,31,4,71,65,1773,19,71,Japan,-0.459335545451677,0.39105644940349
53,datsun 1200,35,4,72,69,1613,18,71,Japan,-0.575211063727814,0.354162306759803
54,volkswagen model 111,27,4,97,60,1834,19,71,Europe,-0.528437821989701,0.384317766224274
55,plymouth cricket,26,4,91,70,1955,20.5,71,US,-0.478934000746208,0.711203166516489
56,toyota corona hardtop,24,4,113,95,2278,15.5,72,Japan,-0.383568896646115,0.384067176793694
57,dodge colt hardtop,25,4,97.5,80,2126,17,72,US,-0.454361731723908,0.278576245116447
58,volkswagen type 3,23,4,97,54,2254,23.5,72,Europe,-0.519794853292734,0.640611524314419
59,chevrolet vega,20,4,140,90,2408,19.5,72,US,-0.131475546344061,0.370294463530371
60,ford pinto runabout,21,4,122,86,2226,16.5,72,US,-0.195111408507504,0.697281056404232
61,chevrolet impala,13,8,350,165,4274,12,72,US,0.832560883203168,-0.170439407527536
62,pontiac catalina,14,8,400,175,4385,12,72,US,1.12450674141115,-0.010776748451365
63,plymouth fury iii,15,8,318,150,4135,13.5,72,US,0.917866297004096,-0.022962588109658
64,ford galaxie 500,14,8,351,153,4129,13,72,US,0.93477737044343,0.266269982935551
65,amc ambassador sst,17,8,304,150,3672,11.5,72,US,0.910726356462422,-0.065549430831788
66,mercury marquis,11,8,429,208,4633,11,72,US,1.09242309237219,-0.215493594009594
67,buick lesabre custom,13,8,350,155,4502,13.5,72,US,0.78903208480119,0.282249382730413
68,oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,US,0.924890136860738,-0.101896441256708
69,chrysler newport royal,13,8,400,190,4422,12.5,72,US,0.934608998766441,0.15214808289157
70,mazda rx2 coupe,19,3,70,97,2330,13.5,72,Japan,-0.458117067222945,0.298043940788643
71,amc matador (sw),15,8,304,150,3892,12.5,72,US,0.916942813485253,0.148227236062176
72,chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,US,0.687651190204314,-0.010591663719495
73,ford gran torino (sw),13,8,302,140,4294,16,72,US,0.943476294235301,0.242047764207911
74,plymouth satellite custom (sw),14,8,318,150,4077,14,72,US,0.911185938136078,0.294946036226509
75,volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe,-0.104848551133715,0.321519973240812
76,volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe,-0.259512538253905,0.270759220513521
77,peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe,-0.090113366062443,0.210000617943272
78,renault 12 (sw),26,4,96,69,2189,18,72,Europe,-0.478730820539135,0.525893632513608
79,ford pinto (sw),22,4,122,86,2395,16,72,US,-0.193409107624584,0.545020391090022
80,datsun 510 (sw),28,4,97,92,2288,17,72,Japan,-0.251438290402472,0.560741579966289
